frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID
map,-0.024899,0.952129,-0.707099,0.707115,2
map,-0.024898,0.927129,-0.707096,0.707118,2
map,-0.024898,0.902129,-0.707093,0.707120,2
map,-0.024897,0.877129,-0.707091,0.707123,2
map,-0.024895,0.852129,-0.707091,0.707123,2
map,-0.024894,0.827129,-0.707088,0.707126,2
map,-0.024893,0.802129,-0.707085,0.707128,2
map,-0.024891,0.777129,-0.707085,0.707128,2
map,-0.024890,0.752129,-0.707083,0.707131,2
map,-0.024888,0.727129,-0.707080,0.707134,2
map,-0.024886,0.702129,-0.707080,0.707134,2
map,-0.024884,0.677129,-0.707077,0.707136,2
map,-0.024882,0.652129,-0.707074,0.707139,2
map,-0.024879,0.627129,-0.707074,0.707139,2
map,-0.024877,0.602129,-0.707072,0.707142,2
map,-0.024874,0.577129,-0.707072,0.707142,2
map,-0.024872,0.552129,-0.707069,0.707145,2
map,-0.024869,0.527129,-0.707066,0.707147,2
map,-0.024866,0.502129,-0.707066,0.707147,2
map,-0.024863,0.477129,-0.707064,0.707150,2
map,-0.024860,0.452129,-0.707064,0.707150,2
map,-0.024857,0.427129,-0.707061,0.707153,2
map,-0.024854,0.402129,-0.707058,0.707155,2
map,-0.024850,0.377129,-0.707056,0.707158,2
map,-0.024847,0.352129,-0.707053,0.707161,2
map,-0.024843,0.327129,-0.707053,0.707161,2
map,-0.024839,0.302129,-0.707053,0.707161,2
map,-0.024835,0.277129,-0.707050,0.707163,2
map,-0.024831,0.252129,-0.707045,0.707169,2
map,-0.024826,0.227129,-0.707045,0.707169,2
map,-0.024822,0.202129,-0.707045,0.707169,2
map,-0.024818,0.177129,-0.707039,0.707174,2
map,-0.024813,0.152129,-0.707037,0.707177,2
map,-0.024808,0.127129,-0.707037,0.707177,2
map,-0.024803,0.102129,-0.707034,0.707180,2
map,-0.024797,0.077129,-0.707029,0.707185,2
map,-0.024792,0.052129,-0.707026,0.707188,2
map,-0.024786,0.027129,-0.707026,0.707188,2
map,-0.024780,0.002129,-0.707023,0.707190,2
map,-0.024774,-0.022871,-0.707020,0.707193,2
map,-0.024768,-0.047871,-0.707018,0.707196,2
map,-0.024762,-0.072871,-0.707015,0.707199,2
map,-0.024755,-0.097871,-0.707012,0.707201,2
map,-0.024748,-0.122871,-0.707010,0.707204,2
map,-0.024741,-0.147871,-0.707010,0.707204,2
map,-0.024734,-0.172871,-0.707004,0.707209,2
map,-0.024727,-0.197871,-0.707002,0.707212,2
map,-0.024720,-0.222871,-0.706999,0.707215,2
map,-0.024712,-0.247871,-0.706993,0.707220,2
map,-0.024704,-0.272871,-0.706993,0.707220,2
map,-0.024696,-0.297871,-0.706988,0.707225,2
map,-0.024687,-0.322871,-0.706983,0.707231,2
map,-0.024678,-0.347871,-0.706983,0.707231,2
map,-0.024669,-0.372871,-0.706977,0.707236,2
map,-0.024660,-0.397871,-0.706972,0.707242,2
map,-0.024650,-0.422871,-0.706969,0.707244,2
map,-0.024640,-0.447871,-0.706964,0.707250,2
map,-0.024630,-0.472871,-0.706958,0.707255,2
map,-0.024619,-0.497871,-0.706956,0.707258,2
map,-0.024609,-0.522871,-0.706953,0.707260,2
map,-0.024597,-0.547871,-0.706948,0.707266,2
map,-0.024586,-0.572871,-0.706942,0.707271,2
map,-0.024574,-0.597871,-0.706937,0.707277,2
map,-0.024562,-0.622871,-0.706934,0.707279,2
map,-0.024550,-0.647871,-0.706929,0.707285,2
map,-0.024537,-0.672871,-0.706921,0.707293,2
map,-0.024523,-0.697871,-0.706918,0.707296,2
map,-0.024510,-0.722871,-0.706913,0.707301,2
map,-0.024496,-0.747871,-0.706907,0.707306,2
map,-0.024482,-0.772871,-0.706902,0.707312,2
map,-0.024467,-0.797871,-0.706896,0.707317,2
map,-0.024452,-0.822871,-0.706891,0.707323,2
map,-0.024436,-0.847871,-0.706883,0.707331,2
map,-0.024420,-0.872871,-0.706877,0.707336,2
map,-0.024404,-0.897871,-0.706869,0.707344,2
map,-0.024387,-0.922871,-0.706864,0.707349,2
map,-0.024370,-0.947871,-0.706859,0.707355,2
map,-0.024352,-0.972871,-0.706850,0.707363,2
map,-0.024333,-0.997871,-0.706842,0.707371,2
map,-0.024314,-1.022871,-0.706834,0.707379,2
map,-0.024295,-1.047871,-0.706826,0.707387,2
map,-0.024275,-1.072871,-0.706818,0.707395,2
map,-0.024254,-1.097871,-0.706813,0.707401,2
map,-0.024233,-1.122871,-0.706805,0.707409,2
map,-0.024211,-1.147871,-0.706794,0.707420,2
map,-0.024189,-1.172871,-0.706786,0.707428,2
map,-0.024166,-1.197871,-0.706778,0.707436,2
map,-0.024142,-1.222871,-0.706767,0.707447,2
map,-0.024118,-1.247871,-0.706756,0.707457,2
map,-0.024093,-1.272871,-0.706748,0.707465,2
map,-0.024067,-1.297871,-0.706737,0.707476,2
map,-0.024041,-1.322871,-0.706726,0.707487,2
map,-0.024013,-1.347871,-0.706716,0.707498,2
map,-0.023985,-1.372871,-0.706705,0.707509,2
map,-0.023957,-1.397871,-0.706694,0.707519,2
map,-0.023927,-1.422871,-0.706680,0.707533,2
map,-0.023896,-1.447871,-0.706670,0.707544,2
map,-0.023865,-1.472871,-0.706656,0.707557,2
map,-0.023833,-1.497871,-0.706643,0.707571,2
map,-0.023799,-1.522871,-0.706632,0.707581,2
map,-0.023765,-1.547871,-0.706618,0.707595,2
map,-0.023730,-1.572871,-0.706605,0.707608,2
map,-0.023695,-1.597871,-0.706591,0.707622,2
map,-0.023658,-1.622871,-0.706575,0.707638,2
map,-0.023619,-1.647871,-0.706559,0.707654,2
map,-0.023580,-1.672871,-0.706543,0.707670,2
map,-0.023540,-1.697871,-0.706527,0.707686,2
map,-0.023498,-1.722871,-0.706513,0.707700,2
map,-0.023456,-1.747871,-0.706497,0.707716,2
map,-0.023412,-1.772871,-0.706475,0.707738,2
map,-0.023366,-1.797871,-0.706459,0.707754,2
map,-0.023320,-1.822871,-0.706443,0.707770,2
map,-0.023273,-1.847870,-0.706421,0.707792,2
map,-0.023223,-1.872870,-0.706402,0.707810,2
map,-0.023173,-1.897870,-0.706384,0.707829,2
map,-0.023121,-1.922870,-0.706362,0.707851,2
map,-0.023068,-1.947870,-0.706340,0.707872,2
map,-0.023013,-1.972870,-0.706319,0.707894,2
map,-0.022956,-1.997870,-0.706297,0.707916,2
map,-0.022898,-2.022870,-0.706273,0.707940,2
map,-0.022839,-2.047870,-0.706248,0.707964,2
map,-0.022777,-2.072870,-0.706227,0.707986,2
map,-0.022714,-2.097870,-0.706203,0.708010,2
map,-0.022649,-2.122870,-0.706176,0.708037,2
map,-0.022583,-2.147870,-0.706149,0.708064,2
map,-0.022514,-2.172870,-0.706122,0.708091,2
map,-0.022443,-2.197870,-0.706092,0.708120,2
map,-0.022370,-2.222869,-0.706065,0.708147,2
map,-0.022296,-2.247869,-0.706035,0.708177,2
map,-0.022219,-2.272869,-0.706003,0.708209,2
map,-0.022140,-2.297869,-0.705973,0.708239,2
map,-0.022059,-2.322869,-0.705941,0.708271,2
map,-0.021975,-2.347869,-0.705908,0.708303,2
map,-0.021889,-2.372869,-0.705876,0.708336,2
map,-0.021801,-2.397868,-0.705838,0.708373,2
map,-0.021710,-2.422868,-0.705800,0.708411,2
map,-0.021617,-2.447868,-0.705765,0.708446,2
map,-0.021521,-2.472868,-0.705727,0.708484,2
map,-0.021422,-2.497868,-0.705689,0.708521,2
map,-0.021320,-2.522867,-0.705649,0.708562,2
map,-0.021216,-2.547867,-0.705605,0.708605,2
map,-0.021108,-2.572867,-0.705565,0.708645,2
map,-0.020998,-2.597867,-0.705522,0.708688,2
map,-0.020884,-2.622867,-0.705473,0.708737,2
map,-0.020767,-2.647866,-0.705427,0.708783,2
map,-0.020647,-2.672866,-0.705381,0.708828,2
map,-0.020523,-2.697866,-0.705330,0.708879,2
map,-0.020396,-2.722865,-0.705281,0.708928,2
map,-0.020266,-2.747865,-0.705230,0.708979,2
map,-0.020131,-2.772865,-0.705176,0.709033,2
map,-0.019993,-2.797864,-0.705121,0.709087,2
map,-0.019850,-2.822864,-0.705062,0.709146,2
map,-0.019704,-2.847863,-0.705005,0.709202,2
map,-0.019554,-2.872863,-0.704946,0.709261,2
map,-0.019399,-2.897863,-0.704883,0.709323,2
map,-0.019240,-2.922862,-0.704821,0.709385,2
map,-0.019076,-2.947861,-0.704756,0.709450,2
map,-0.018908,-2.972861,-0.704691,0.709514,2
map,-0.018735,-2.997860,-0.704621,0.709584,2
map,-0.018557,-3.022860,-0.704550,0.709654,2
map,-0.018374,-3.047859,-0.704477,0.709727,2
map,-0.018186,-3.072858,-0.704401,0.709802,2
map,-0.017992,-3.097858,-0.704326,0.709877,2
map,-0.017793,-3.122857,-0.704244,0.709958,2
map,-0.017588,-3.147856,-0.704163,0.710038,2
map,-0.017378,-3.172855,-0.704082,0.710119,2
map,-0.017161,-3.197854,-0.703995,0.710205,2
map,-0.016939,-3.222853,-0.703906,0.710293,2
map,-0.016710,-3.247852,-0.703816,0.710382,2
map,-0.016474,-3.272851,-0.703722,0.710476,2
map,-0.016232,-3.297850,-0.703624,0.710573,2
map,-0.015983,-3.322849,-0.703524,0.710672,2
map,-0.015727,-3.347847,-0.703423,0.710771,2
map,-0.015464,-3.372846,-0.703320,0.710873,2
map,-0.015193,-3.397845,-0.703209,0.710983,2
map,-0.014914,-3.422843,-0.703098,0.711093,2
map,-0.014627,-3.447841,-0.702987,0.711203,2
map,-0.014333,-3.472840,-0.702867,0.711321,2
map,-0.014030,-3.497838,-0.702745,0.711442,2
map,-0.013718,-3.522836,-0.702623,0.711562,2
map,-0.013398,-3.547834,-0.702495,0.711688,2
map,-0.013068,-3.572832,-0.702365,0.711817,2
map,-0.012729,-3.597829,-0.702229,0.711951,2
map,-0.012381,-3.622827,-0.702088,0.712090,2
map,-0.012022,-3.647824,-0.701944,0.712232,2
map,-0.011653,-3.672822,-0.701800,0.712374,2
map,-0.011274,-3.697819,-0.701648,0.712524,2
map,-0.010884,-3.722816,-0.701490,0.712679,2
map,-0.010483,-3.747812,-0.701332,0.712834,2
map,-0.010071,-3.772809,-0.701166,0.712998,2
map,-0.009647,-3.797805,-0.700998,0.713163,2
map,-0.009211,-3.822802,-0.700824,0.713335,2
map,-0.008762,-3.847797,-0.700641,0.713514,2
map,-0.008300,-3.872793,-0.700459,0.713693,2
map,-0.007826,-3.897789,-0.700271,0.713877,2
map,-0.007338,-3.922784,-0.700072,0.714072,2
map,-0.006836,-3.947779,-0.699973,0.714170,2
map,-0.006836,-3.947779,-0.731480,0.681862,2

