frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
odom,-0.030775,3.107415,-0.709652,0.704553,8
odom,-0.031591,2.994297,-0.709654,0.704551,8
odom,-0.032405,2.881301,-0.709648,0.704557,8
odom,-0.033243,2.768381,-0.709806,0.704397,8
odom,-0.034139,2.654874,-0.709980,0.704222,8
odom,-0.034975,2.551442,-0.709946,0.704256,8
odom,-0.035759,2.454054,-0.709951,0.704251,8
odom,-0.036498,2.361516,-0.709902,0.704300,8
odom,-0.037192,2.274277,-0.709931,0.704271,8
odom,-0.037864,2.191887,-0.710047,0.704154,8
odom,-0.038339,2.131100,-0.709682,0.704522,8
odom,-0.038607,2.091489,-0.709317,0.704890,8

odom,-0.026094,3.742446,-0.709392,0.704814,9
odom,-0.026903,3.621181,-0.709533,0.704673,9
odom,-0.027574,3.511986,-0.709031,0.705178,9
odom,-0.028152,3.402803,-0.708931,0.705278,9
odom,-0.028683,3.293635,-0.708727,0.705482,9
odom,-0.029150,3.184485,-0.708521,0.705690,9
odom,-0.029549,3.075360,-0.708293,0.705918,9
odom,-0.029897,2.966265,-0.708189,0.706023,9
odom,-0.030310,2.857207,-0.708711,0.705498,9
odom,-0.031073,2.748244,-0.710442,0.703755,9
odom,-0.032234,2.646304,-0.711773,0.702410,9
odom,-0.033507,2.550382,-0.711767,0.702416,9
odom,-0.034654,2.460205,-0.711383,0.702805,9
odom,-0.035661,2.374418,-0.711091,0.703100,9
odom,-0.036558,2.292765,-0.710851,0.703342,9
odom,-0.037358,2.215459,-0.710637,0.703559,9
odom,-0.038124,2.139616,-0.710701,0.703494,9
odom,-0.038920,2.041490,-0.709310,0.704897,9

odom,-0.026400,3.692353,-0.709257,0.704950,10
odom,-0.027156,3.570483,-0.709346,0.704861,10
odom,-0.027694,3.457792,-0.708253,0.705959,10
odom,-0.027679,3.345269,-0.705866,0.708346,10
odom,-0.026950,3.232804,-0.703757,0.710440,10
odom,-0.025755,3.120361,-0.702922,0.711267,10
odom,-0.024552,3.007931,-0.703706,0.710491,10
odom,-0.023785,2.895504,-0.705673,0.708537,10
odom,-0.023754,2.783048,-0.708347,0.705865,10
odom,-0.024828,2.670474,-0.712606,0.701564,10
odom,-0.026941,2.558185,-0.714877,0.699250,10
odom,-0.029064,2.454395,-0.713758,0.700393,10
odom,-0.030771,2.356724,-0.712796,0.701372,10
odom,-0.032212,2.263964,-0.712393,0.701781,10
odom,-0.033472,2.176537,-0.712014,0.702165,10
odom,-0.034571,2.093714,-0.711589,0.702596,10
odom,-0.035236,2.031254,-0.710172,0.704028,10
odom,-0.035505,1.990469,-0.708756,0.705454,10

odom,-0.026708,3.642431,-0.709305,0.704902,11
odom,-0.027455,3.515638,-0.709072,0.705136,11
odom,-0.028131,3.394772,-0.709093,0.705115,11
odom,-0.028737,3.274843,-0.708690,0.705520,11
odom,-0.029217,3.155159,-0.708356,0.705856,11
odom,-0.029606,3.035474,-0.708153,0.706059,11
odom,-0.029961,2.915828,-0.708158,0.706054,11
odom,-0.030371,2.796308,-0.708476,0.705735,11
odom,-0.030951,2.677128,-0.709178,0.705029,11
odom,-0.031641,2.571701,-0.709656,0.704548,11
odom,-0.032382,2.469321,-0.709674,0.704530,11
odom,-0.033057,2.373690,-0.709525,0.704680,11
odom,-0.033668,2.282787,-0.709436,0.704769,11
odom,-0.034225,2.196172,-0.709327,0.704880,11
odom,-0.034729,2.114669,-0.709262,0.704945,11
odom,-0.035206,2.037259,-0.709302,0.704905,11
odom,-0.035547,1.978551,-0.709025,0.705183,11
odom,-0.035739,1.940470,-0.708749,0.705461,11

odom,-0.027017,3.592376,-0.709251,0.704956,12
odom,-0.027540,3.471908,-0.708028,0.706184,12
odom,-0.027884,3.362516,-0.708404,0.705807,12
odom,-0.028260,3.253153,-0.708240,0.705971,12
odom,-0.028614,3.143804,-0.708255,0.705957,12
odom,-0.028960,3.034446,-0.708197,0.706015,12
odom,-0.029287,2.925079,-0.708127,0.706085,12
odom,-0.029610,2.815701,-0.708168,0.706044,12
odom,-0.029920,2.706297,-0.708048,0.706164,12
odom,-0.030344,2.596803,-0.708902,0.705307,12
odom,-0.030996,2.494041,-0.709784,0.704419,12
odom,-0.031720,2.394322,-0.709557,0.704648,12
odom,-0.032915,2.220712,-0.709517,0.704688,12
odom,-0.033483,2.136729,-0.709471,0.704734,12
