local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
-0.375971,-0.067144,0.000000,0.000000,28
-0.240872,-0.122613,0.000000,0.000000,28
-0.190456,-0.156473,0.000000,0.000000,28
-0.162474,-0.182179,0.000000,0.000000,28
-0.145833,-0.202232,0.000000,0.000000,28
-0.133742,-0.221443,0.000000,0.000000,28
-0.112288,-0.270658,0.000000,0.000000,28
-0.096190,-0.334446,0.000000,0.000000,28
-0.088524,-0.406136,0.000000,0.000000,28
-0.090403,-0.492396,0.000000,0.000000,28
-0.104050,-0.588760,0.000000,0.000000,28
-0.129525,-0.697951,0.000000,0.000000,28
-0.161434,-0.813187,0.000000,0.000000,28
-0.200233,-0.960665,0.000000,0.000000,28
-0.235190,-1.111144,0.000000,0.000000,28
-0.260041,-1.240567,0.000000,0.000000,28
-0.277313,-1.353803,0.000000,0.000000,28
-0.293650,-1.464407,0.000000,0.000000,28
-0.307389,-1.571391,0.000000,0.000000,28
-0.311673,-1.660827,0.000000,0.000000,28
-0.307266,-1.730407,0.000000,0.000000,28
-0.375971,-0.067144,0.000000,0.000000,29
-0.240872,-0.122613,0.000000,0.000000,29
-0.190456,-0.156473,0.000000,0.000000,29
-0.162474,-0.182179,0.000000,0.000000,29
-0.145833,-0.202232,0.000000,0.000000,29
-0.133742,-0.221443,0.000000,0.000000,29
-0.112288,-0.270658,0.000000,0.000000,29
-0.096190,-0.334446,0.000000,0.000000,29
-0.088524,-0.406136,0.000000,0.000000,29
-0.090403,-0.492396,0.000000,0.000000,29
-0.104050,-0.588760,0.000000,0.000000,29
-0.129525,-0.697951,0.000000,0.000000,29
-0.161434,-0.813187,0.000000,0.000000,29
-0.200233,-0.960665,0.000000,0.000000,29
-0.235190,-1.111144,0.000000,0.000000,29
-0.260041,-1.240567,0.000000,0.000000,29
-0.277313,-1.353803,0.000000,0.000000,29
-0.293650,-1.464407,0.000000,0.000000,29
-0.307389,-1.571391,0.000000,0.000000,29
-0.311673,-1.660827,0.000000,0.000000,29
-0.307266,-1.730407,0.000000,0.000000,29
-0.375971,-0.067144,0.000000,0.000000,60
-0.293240,-0.100315,0.000000,0.000000,60
-0.279709,-0.109400,0.000000,0.000000,60
-0.281841,-0.107834,0.000000,0.000000,60
-0.283488,-0.106377,0.000000,0.000000,60
-0.283952,-0.106312,0.000000,0.000000,60
-0.274610,-0.127579,0.000000,0.000000,60
-0.259141,-0.184566,0.000000,0.000000,60
-0.251726,-0.253002,0.000000,0.000000,60
-0.252398,-0.328676,0.000000,0.000000,60
-0.263657,-0.458308,0.000000,0.000000,60
-0.277186,-0.571595,0.000000,0.000000,60
-0.288270,-0.671420,0.000000,0.000000,60
-0.297548,-0.771818,0.000000,0.000000,60
-0.304368,-0.879221,0.000000,0.000000,60
-0.308059,-0.984761,0.000000,0.000000,60
-0.311446,-1.102850,0.000000,0.000000,60
-0.313971,-1.225052,0.000000,0.000000,60
-0.314546,-1.337751,0.000000,0.000000,60
-0.314390,-1.446205,0.000000,0.000000,60
-0.313800,-1.553481,0.000000,0.000000,60
-0.312543,-1.651363,0.000000,0.000000,60
-0.307266,-1.730407,0.000000,0.000000,60
-0.375971,-0.067144,0.000000,0.000000,61
-0.293240,-0.100315,0.000000,0.000000,61
-0.279709,-0.109400,0.000000,0.000000,61
-0.281841,-0.107834,0.000000,0.000000,61
-0.283488,-0.106377,0.000000,0.000000,61
-0.283952,-0.106312,0.000000,0.000000,61
-0.274610,-0.127579,0.000000,0.000000,61
-0.259141,-0.184566,0.000000,0.000000,61
-0.251726,-0.253002,0.000000,0.000000,61
-0.252398,-0.328676,0.000000,0.000000,61
-0.263657,-0.458308,0.000000,0.000000,61
-0.277186,-0.571595,0.000000,0.000000,61
-0.288270,-0.671420,0.000000,0.000000,61
-0.297548,-0.771818,0.000000,0.000000,61
-0.304368,-0.879221,0.000000,0.000000,61
-0.308059,-0.984761,0.000000,0.000000,61
-0.311446,-1.102850,0.000000,0.000000,61
-0.313971,-1.225052,0.000000,0.000000,61
-0.314546,-1.337751,0.000000,0.000000,61
-0.314390,-1.446205,0.000000,0.000000,61
-0.313800,-1.553481,0.000000,0.000000,61
-0.312543,-1.651363,0.000000,0.000000,61
-0.307266,-1.730407,0.000000,0.000000,61
