frame,footprint_x,footprint_y,footprint_z,ID
odom,-0.047723,3.662235,0.000000,0
odom,0.069001,3.671908,0.000000,0
odom,0.163572,3.722599,0.000000,0
odom,0.231545,3.805623,0.000000,0
odom,0.262572,3.908338,0.000000,0
odom,0.253868,4.035015,0.000000,0
odom,0.203177,4.129586,0.000000,0
odom,0.120153,4.197559,0.000000,0
odom,0.017438,4.228586,0.000000,0
odom,-0.109239,4.219882,0.000000,0
odom,-0.203810,4.169190,0.000000,0
odom,-0.271783,4.086167,0.000000,0
odom,-0.302811,3.983452,0.000000,0
odom,-0.294106,3.856775,0.000000,0
odom,-0.243415,3.762204,0.000000,0
odom,-0.160391,3.694231,0.000000,0

odom,-0.047723,3.662231,0.000000,1
odom,0.069001,3.671904,0.000000,1
odom,0.163572,3.722596,0.000000,1
odom,0.231545,3.805619,0.000000,1
odom,0.262572,3.908335,0.000000,1
odom,0.253867,4.035011,0.000000,1
odom,0.203176,4.129582,0.000000,1
odom,0.120152,4.197555,0.000000,1
odom,0.017437,4.228582,0.000000,1
odom,-0.109240,4.219877,0.000000,1
odom,-0.203811,4.169186,0.000000,1
odom,-0.271784,4.086163,0.000000,1
odom,-0.302811,3.983447,0.000000,1
odom,-0.294106,3.856770,0.000000,1
odom,-0.243415,3.762200,0.000000,1
odom,-0.160391,3.694227,0.000000,1

odom,-0.046972,3.660497,0.000000,2
odom,0.069720,3.670544,0.000000,2
odom,0.164128,3.721538,0.000000,2
odom,0.231835,3.804778,0.000000,2
odom,0.262533,3.907593,0.000000,2
odom,0.253423,4.034241,0.000000,2
odom,0.202429,4.128648,0.000000,2
odom,0.119189,4.196356,0.000000,2
odom,0.016374,4.227054,0.000000,2
odom,-0.110274,4.217944,0.000000,2
odom,-0.204682,4.166950,0.000000,2
odom,-0.272389,4.083710,0.000000,2
odom,-0.303087,3.980895,0.000000,2
odom,-0.293977,3.854247,0.000000,2
odom,-0.242983,3.759839,0.000000,2
odom,-0.159743,3.692132,0.000000,2

odom,-0.042951,3.650433,0.000000,3
odom,0.073553,3.662467,0.000000,3
odom,0.167078,3.715062,0.000000,3
odom,0.233357,3.799445,0.000000,3
odom,0.262299,3.902767,0.000000,3
odom,0.251031,4.029242,0.000000,3
odom,0.198436,4.122767,0.000000,3
odom,0.114054,4.189046,0.000000,3
odom,0.010731,4.217988,0.000000,3
odom,-0.115744,4.206720,0.000000,3
odom,-0.209269,4.154125,0.000000,3
odom,-0.275547,4.069742,0.000000,3
odom,-0.304489,3.966420,0.000000,3
odom,-0.293222,3.839945,0.000000,3
odom,-0.240626,3.746420,0.000000,3
odom,-0.156244,3.680141,0.000000,3

odom,-0.038360,3.629770,0.000000,4
odom,0.077868,3.644226,0.000000,4
odom,0.170279,3.698755,0.000000,4
odom,0.234788,3.784498,0.000000,4
odom,0.261574,3.888401,0.000000,4
odom,0.247678,4.014613,0.000000,4
odom,0.193148,4.107024,0.000000,4
odom,0.107405,4.171533,0.000000,4
odom,0.003503,4.198319,0.000000,4
odom,-0.122710,4.184423,0.000000,4
odom,-0.215121,4.129893,0.000000,4
odom,-0.279629,4.044150,0.000000,4
odom,-0.306416,3.940248,0.000000,4
