tf_map_odom_tran_x,tf_map_odom_tran_y,tf_map_odom_tran_z,tf_map_odom_rot_x,tf_map_odom_rot_y,tf_map_odom_rot_z,tf_map_odom_rot_w
-0.031112,-0.040055,0.000000,0.000000,0.000000,-0.004183,0.999991
-0.031112,-0.040055,0.000000,0.000000,0.000000,-0.004183,0.999991
-0.031112,-0.040055,0.000000,0.000000,0.000000,-0.004183,0.999991
-0.031112,-0.040055,0.000000,0.000000,0.000000,-0.004183,0.999991
-0.026700,-0.035752,0.000000,0.000000,0.000000,-0.003049,0.999995
-0.026700,-0.035752,0.000000,0.000000,0.000000,-0.003049,0.999995
-0.026700,-0.035752,0.000000,0.000000,0.000000,-0.003049,0.999995
-0.026700,-0.035752,0.000000,0.000000,0.000000,-0.003049,0.999995
-0.026700,-0.035752,0.000000,0.000000,0.000000,-0.003049,0.999995
-0.019810,-0.036752,0.000000,0.000000,0.000000,-0.002269,0.999997
-0.019810,-0.036752,0.000000,0.000000,0.000000,-0.002269,0.999997
-0.019810,-0.036752,0.000000,0.000000,0.000000,-0.002269,0.999997
-0.019810,-0.036752,0.000000,0.000000,0.000000,-0.002269,0.999997
-0.019810,-0.036752,0.000000,0.000000,0.000000,-0.002269,0.999997
-0.020260,-0.027972,0.000000,0.000000,0.000000,-0.002035,0.999998
-0.020260,-0.027972,0.000000,0.000000,0.000000,-0.002035,0.999998
-0.020260,-0.027972,0.000000,0.000000,0.000000,-0.002035,0.999998
-0.020260,-0.027972,0.000000,0.000000,0.000000,-0.002035,0.999998
-0.020260,-0.027972,0.000000,0.000000,0.000000,-0.002035,0.999998
-0.012657,-0.023646,0.000000,0.000000,0.000000,-0.001461,0.999999
-0.012657,-0.023646,0.000000,0.000000,0.000000,-0.001461,0.999999
-0.012657,-0.023646,0.000000,0.000000,0.000000,-0.001461,0.999999
-0.012657,-0.023646,0.000000,0.000000,0.000000,-0.001461,0.999999
-0.012657,-0.023646,0.000000,0.000000,0.000000,-0.001461,0.999999
-0.014482,-0.016922,0.000000,0.000000,0.000000,-0.001777,0.999998
-0.014482,-0.016922,0.000000,0.000000,0.000000,-0.001777,0.999998
-0.014482,-0.016922,0.000000,0.000000,0.000000,-0.001777,0.999998
-0.014482,-0.016922,0.000000,0.000000,0.000000,-0.001777,0.999998
-0.014482,-0.016922,0.000000,0.000000,0.000000,-0.001777,0.999998
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.009543,-0.025175,0.000000,0.000000,0.000000,-0.000963,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002802,-0.027311,0.000000,0.000000,0.000000,0.000765,1.000000
-0.002813,-0.031979,0.000000,0.000000,0.000000,0.000567,1.000000
-0.002813,-0.031979,0.000000,0.000000,0.000000,0.000567,1.000000
-0.002813,-0.031979,0.000000,0.000000,0.000000,0.000567,1.000000
-0.002813,-0.031979,0.000000,0.000000,0.000000,0.000567,1.000000
0.001418,-0.023650,0.000000,0.000000,0.000000,0.000989,1.000000
0.001418,-0.023650,0.000000,0.000000,0.000000,0.000989,1.000000
0.001418,-0.023650,0.000000,0.000000,0.000000,0.000989,1.000000
0.001418,-0.023650,0.000000,0.000000,0.000000,0.000989,1.000000
0.001418,-0.023650,0.000000,0.000000,0.000000,0.000989,1.000000
-0.007187,-0.026475,0.000000,0.000000,0.000000,-0.001466,0.999999
-0.007187,-0.026475,0.000000,0.000000,0.000000,-0.001466,0.999999
-0.007187,-0.026475,0.000000,0.000000,0.000000,-0.001466,0.999999
-0.002749,-0.029903,0.000000,0.000000,0.000000,-0.000809,1.000000
-0.002749,-0.029903,0.000000,0.000000,0.000000,-0.000809,1.000000
-0.002749,-0.029903,0.000000,0.000000,0.000000,-0.000809,1.000000
-0.002749,-0.029903,0.000000,0.000000,0.000000,-0.000809,1.000000
-0.013102,-0.042709,0.000000,0.000000,0.000000,-0.002666,0.999996
-0.013102,-0.042709,0.000000,0.000000,0.000000,-0.002666,0.999996
-0.013102,-0.042709,0.000000,0.000000,0.000000,-0.002666,0.999996
-0.013102,-0.042709,0.000000,0.000000,0.000000,-0.002666,0.999996
