frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-0.415888,2.566240,0.985865,-0.167544,0.500161,0.181754
/odom,/base_footprint,-0.453527,2.552653,0.984051,-0.177888,0.499965,0.297352
/odom,/base_footprint,-0.518526,2.526739,0.979787,-0.200043,0.500060,0.353077
/odom,/base_footprint,-0.555097,2.510518,0.976668,-0.214753,0.499920,0.395688
/odom,/base_footprint,-0.591056,2.493196,0.973002,-0.230797,0.497867,0.453035
/odom,/base_footprint,-0.652309,2.459677,0.964311,-0.264771,0.499660,0.503043
/odom,/base_footprint,-0.686283,2.438563,0.958784,-0.284136,0.500272,0.504173
/odom,/base_footprint,-0.719388,2.416090,0.952846,-0.303456,0.499964,0.507991
/odom,/base_footprint,-0.774530,2.373986,0.941397,-0.337299,0.492081,0.513694
/odom,/base_footprint,-0.804564,2.348248,0.934342,-0.356378,0.495135,0.506129
/odom,/base_footprint,-0.833385,2.321452,0.926895,-0.375321,0.488079,0.513431
/odom,/base_footprint,-0.881262,2.271624,0.913005,-0.407948,0.497280,0.499334
/odom,/base_footprint,-0.907322,2.241325,0.904637,-0.426184,0.501500,0.502591
/odom,/base_footprint,-0.932091,2.210069,0.895803,-0.444451,0.494467,0.511850
/odom,/base_footprint,-0.972129,2.153251,0.879441,-0.476008,0.499568,0.503104
/odom,/base_footprint,-0.993339,2.119303,0.869677,-0.493621,0.500701,0.503166
/odom,/base_footprint,-1.013153,2.084549,0.859551,-0.511050,0.499638,0.504724
/odom,/base_footprint,-1.044389,2.021924,0.840985,-0.541059,0.500303,0.503042
/odom,/base_footprint,-1.060233,1.985192,0.829896,-0.557919,0.499869,0.504398
/odom,/base_footprint,-1.081190,1.928979,0.812708,-0.582671,0.500166,0.500392
/odom,/base_footprint,-1.093268,1.890843,0.800875,-0.598832,0.500021,0.500202
/odom,/base_footprint,-1.108499,1.832815,0.782530,-0.622613,0.500076,0.500664
/odom,/base_footprint,-1.118512,1.783827,0.766716,-0.641986,0.500003,0.499797
/odom,/base_footprint,-1.124752,1.744316,0.753717,-0.657199,0.500048,0.500547
/odom,/base_footprint,-1.130321,1.694628,0.737069,-0.675818,0.500087,0.498819
/odom,/base_footprint,-1.133721,1.634727,0.716507,-0.697580,0.500096,0.499128
/odom,/base_footprint,-1.134009,1.594726,0.702851,-0.711337,0.500113,0.475922
/odom,/base_footprint,-1.132777,1.554740,0.689702,-0.724093,0.500083,0.416139
/odom,/base_footprint,-1.127469,1.484934,0.670596,-0.741822,0.500105,0.330275
/odom,/base_footprint,-1.122953,1.445186,0.661991,-0.749512,0.500109,0.226034
/odom,/base_footprint,-1.117695,1.405521,0.656451,-0.754369,0.500131,0.136949
/odom,/base_footprint,-1.107514,1.336258,0.651743,-0.758440,0.500062,0.049171
/odom,/base_footprint,-1.101437,1.296716,0.650930,-0.759137,0.500115,0.006085
/odom,/base_footprint,-1.095321,1.257188,0.650609,-0.759413,0.499955,0.016779
/odom,/base_footprint,-1.087602,1.207790,0.649683,-0.760206,0.499974,0.038670
/odom,/base_footprint,-1.078098,1.148549,0.647526,-0.762044,0.499972,0.057369
/odom,/base_footprint,-1.071559,1.109088,0.646151,-0.763209,0.500063,0.023977
/odom,/base_footprint,-1.059899,1.040063,0.644832,-0.764324,0.499965,0.028239
/odom,/base_footprint,-1.053135,1.000639,0.644414,-0.764677,0.500055,0.004984
/odom,/base_footprint,-1.043027,0.941488,0.646437,-0.762967,0.500151,-0.124678
/odom,/base_footprint,-1.036650,0.901993,0.650053,-0.759888,0.499917,-0.111443
/odom,/base_footprint,-1.027685,0.842680,0.653215,-0.757173,0.499868,-0.013641
/odom,/base_footprint,-1.020346,0.793225,0.652853,-0.757485,0.499972,0.019867
/odom,/base_footprint,-1.014396,0.753670,0.651781,-0.758407,0.499988,0.045850
/odom,/base_footprint,-1.006794,0.704251,0.651178,-0.758925,0.500132,-0.040501
/odom,/base_footprint,-0.997812,0.644921,0.652524,-0.757768,0.499853,-0.012723
/odom,/base_footprint,-0.991885,0.605371,0.652593,-0.757708,0.499971,0.003448
/odom,/base_footprint,-0.984446,0.555923,0.651923,-0.758285,0.499847,0.032684
/odom,/base_footprint,-0.975344,0.496621,0.650728,-0.759311,0.500042,0.021169
/odom,/base_footprint,-0.969177,0.457097,0.649852,-0.760061,0.499995,0.032461
/odom,/base_footprint,-0.962916,0.417594,0.649060,-0.760737,0.499995,0.016766
/odom,/base_footprint,-0.951799,0.348480,0.647830,-0.761785,0.499947,0.030434
/odom,/base_footprint,-0.945336,0.309006,0.647189,-0.762330,0.500043,0.015955
/odom,/base_footprint,-0.937173,0.259676,0.646326,-0.763061,0.499931,0.028794
/odom,/base_footprint,-0.927653,0.203630,0.642768,-0.766061,0.429785,0.145990
/odom,/base_footprint,-0.922110,0.173132,0.639065,-0.769153,0.351054,0.085331
/odom,/base_footprint,-0.917580,0.149222,0.636340,-0.771409,0.277402,0.129089
/odom,/base_footprint,-0.910442,0.114638,0.624630,-0.780921,0.212603,0.322077
/odom,/base_footprint,-0.906300,0.097348,0.614548,-0.788879,0.225514,0.271737
/odom,/base_footprint,-0.900992,0.077319,0.605529,-0.795823,0.178049,0.159298
/odom,/base_footprint,-0.896753,0.062332,0.601396,-0.798951,0.074039,0.012683
/odom,/base_footprint,-0.895627,0.058404,0.602242,-0.798314,0.055984,0.009044
