tf_odom_map_tran_x,tf_odom_map_tran_y,tf_odom_map_tran_z,tf_odom_map_rot_x,tf_odom_map_rot_y,tf_odom_map_rot_z,tf_odom_map_rot_w
0.030775,0.040314,0.000000,0.000000,0.000000,0.004183,0.999991
0.030775,0.040314,0.000000,0.000000,0.000000,0.004183,0.999991
0.030775,0.040314,0.000000,0.000000,0.000000,0.004183,0.999991
0.030775,0.040314,0.000000,0.000000,0.000000,0.004183,0.999991
0.026481,0.035914,0.000000,0.000000,0.000000,0.003049,0.999995
0.026481,0.035914,0.000000,0.000000,0.000000,0.003049,0.999995
0.026481,0.035914,0.000000,0.000000,0.000000,0.003049,0.999995
0.026481,0.035914,0.000000,0.000000,0.000000,0.003049,0.999995
0.026481,0.035914,0.000000,0.000000,0.000000,0.003049,0.999995
0.019643,0.036841,0.000000,0.000000,0.000000,0.002269,0.999997
0.019643,0.036841,0.000000,0.000000,0.000000,0.002269,0.999997
0.019643,0.036841,0.000000,0.000000,0.000000,0.002269,0.999997
0.019643,0.036841,0.000000,0.000000,0.000000,0.002269,0.999997
0.019643,0.036841,0.000000,0.000000,0.000000,0.002269,0.999997
0.020146,0.028054,0.000000,0.000000,0.000000,0.002035,0.999998
0.020146,0.028054,0.000000,0.000000,0.000000,0.002035,0.999998
0.020146,0.028054,0.000000,0.000000,0.000000,0.002035,0.999998
0.020146,0.028054,0.000000,0.000000,0.000000,0.002035,0.999998
0.020146,0.028054,0.000000,0.000000,0.000000,0.002035,0.999998
0.012588,0.023683,0.000000,0.000000,0.000000,0.001461,0.999999
0.012588,0.023683,0.000000,0.000000,0.000000,0.001461,0.999999
0.012588,0.023683,0.000000,0.000000,0.000000,0.001461,0.999999
0.012588,0.023683,0.000000,0.000000,0.000000,0.001461,0.999999
0.012588,0.023683,0.000000,0.000000,0.000000,0.001461,0.999999
0.014422,0.016974,0.000000,0.000000,0.000000,0.001777,0.999998
0.014422,0.016974,0.000000,0.000000,0.000000,0.001777,0.999998
0.014422,0.016974,0.000000,0.000000,0.000000,0.001777,0.999998
0.014422,0.016974,0.000000,0.000000,0.000000,0.001777,0.999998
0.014422,0.016974,0.000000,0.000000,0.000000,0.001777,0.999998
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.009494,0.025193,0.000000,0.000000,0.000000,0.000963,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002844,0.027307,0.000000,0.000000,0.000000,-0.000765,1.000000
0.002849,0.031975,0.000000,0.000000,0.000000,-0.000567,1.000000
0.002849,0.031975,0.000000,0.000000,0.000000,-0.000567,1.000000
0.002849,0.031975,0.000000,0.000000,0.000000,-0.000567,1.000000
0.002849,0.031975,0.000000,0.000000,0.000000,-0.000567,1.000000
-0.001371,0.023652,0.000000,0.000000,0.000000,-0.000989,1.000000
-0.001371,0.023652,0.000000,0.000000,0.000000,-0.000989,1.000000
-0.001371,0.023652,0.000000,0.000000,0.000000,-0.000989,1.000000
-0.001371,0.023652,0.000000,0.000000,0.000000,-0.000989,1.000000
-0.001371,0.023652,0.000000,0.000000,0.000000,-0.000989,1.000000
0.007109,0.026496,0.000000,0.000000,0.000000,0.001466,0.999999
0.007109,0.026496,0.000000,0.000000,0.000000,0.001466,0.999999
0.007109,0.026496,0.000000,0.000000,0.000000,0.001466,0.999999
0.002701,0.029907,0.000000,0.000000,0.000000,0.000809,1.000000
0.002701,0.029907,0.000000,0.000000,0.000000,0.000809,1.000000
0.002701,0.029907,0.000000,0.000000,0.000000,0.000809,1.000000
0.002701,0.029907,0.000000,0.000000,0.000000,0.000809,1.000000
0.012874,0.042779,0.000000,0.000000,0.000000,0.002666,0.999996
0.012874,0.042779,0.000000,0.000000,0.000000,0.002666,0.999996
0.012874,0.042779,0.000000,0.000000,0.000000,0.002666,0.999996
0.012874,0.042779,0.000000,0.000000,0.000000,0.002666,0.999996
0.012874,0.042779,0.000000,0.000000,0.000000,0.002666,0.999996
0.019636,0.045364,0.000000,0.000000,0.000000,0.003813,0.999993
0.019636,0.045364,0.000000,0.000000,0.000000,0.003813,0.999993
0.019636,0.045364,0.000000,0.000000,0.000000,0.003813,0.999993
0.019636,0.045364,0.000000,0.000000,0.000000,0.003813,0.999993
0.019636,0.045364,0.000000,0.000000,0.000000,0.003813,0.999993
0.022994,0.031355,0.000000,0.000000,0.000000,0.004703,0.999989
0.022994,0.031355,0.000000,0.000000,0.000000,0.004703,0.999989
0.022994,0.031355,0.000000,0.000000,0.000000,0.004703,0.999989
0.022994,0.031355,0.000000,0.000000,0.000000,0.004703,0.999989
0.010810,0.025660,0.000000,0.000000,0.000000,0.003748,0.999993
0.010810,0.025660,0.000000,0.000000,0.000000,0.003748,0.999993
0.010810,0.025660,0.000000,0.000000,0.000000,0.003748,0.999993
0.010810,0.025660,0.000000,0.000000,0.000000,0.003748,0.999993
0.012524,0.028824,0.000000,0.000000,0.000000,0.002877,0.999996
0.012524,0.028824,0.000000,0.000000,0.000000,0.002877,0.999996
0.012524,0.028824,0.000000,0.000000,0.000000,0.002877,0.999996
0.012524,0.028824,0.000000,0.000000,0.000000,0.002877,0.999996
0.012720,0.036417,0.000000,0.000000,0.000000,0.003017,0.999995
0.012720,0.036417,0.000000,0.000000,0.000000,0.003017,0.999995
0.012720,0.036417,0.000000,0.000000,0.000000,0.003017,0.999995
0.012720,0.036417,0.000000,0.000000,0.000000,0.003017,0.999995
0.008037,0.039205,0.000000,0.000000,0.000000,0.001100,0.999999
0.008037,0.039205,0.000000,0.000000,0.000000,0.001100,0.999999
0.008037,0.039205,0.000000,0.000000,0.000000,0.001100,0.999999
0.008037,0.039205,0.000000,0.000000,0.000000,0.001100,0.999999
0.007370,0.032754,0.000000,0.000000,0.000000,0.002411,0.999997
0.007370,0.032754,0.000000,0.000000,0.000000,0.002411,0.999997
0.007370,0.032754,0.000000,0.000000,0.000000,0.002411,0.999997
0.007370,0.032754,0.000000,0.000000,0.000000,0.002411,0.999997
0.007370,0.032754,0.000000,0.000000,0.000000,0.002411,0.999997
0.005505,0.025328,0.000000,0.000000,0.000000,0.002481,0.999997
0.005505,0.025328,0.000000,0.000000,0.000000,0.002481,0.999997
0.005505,0.025328,0.000000,0.000000,0.000000,0.002481,0.999997
0.005505,0.025328,0.000000,0.000000,0.000000,0.002481,0.999997
-0.004432,0.014267,0.000000,0.000000,0.000000,0.001448,0.999999
-0.004432,0.014267,0.000000,0.000000,0.000000,0.001448,0.999999
-0.004432,0.014267,0.000000,0.000000,0.000000,0.001448,0.999999
-0.004432,0.014267,0.000000,0.000000,0.000000,0.001448,0.999999
-0.004432,0.014267,0.000000,0.000000,0.000000,0.001448,0.999999
-0.003741,0.010412,0.000000,0.000000,0.000000,0.003574,0.999994
-0.003741,0.010412,0.000000,0.000000,0.000000,0.003574,0.999994
-0.003741,0.010412,0.000000,0.000000,0.000000,0.003574,0.999994
-0.003741,0.010412,0.000000,0.000000,0.000000,0.003574,0.999994
-0.003741,0.010412,0.000000,0.000000,0.000000,0.003574,0.999994
0.002710,0.002963,0.000000,0.000000,0.000000,0.004724,0.999989
0.002710,0.002963,0.000000,0.000000,0.000000,0.004724,0.999989
0.002710,0.002963,0.000000,0.000000,0.000000,0.004724,0.999989
0.002710,0.002963,0.000000,0.000000,0.000000,0.004724,0.999989
0.002710,0.002963,0.000000,0.000000,0.000000,0.004724,0.999989
0.000622,0.002179,0.000000,0.000000,0.000000,0.003426,0.999994
0.000622,0.002179,0.000000,0.000000,0.000000,0.003426,0.999994
0.000622,0.002179,0.000000,0.000000,0.000000,0.003426,0.999994
0.000622,0.002179,0.000000,0.000000,0.000000,0.003426,0.999994
0.000622,0.002179,0.000000,0.000000,0.000000,0.003426,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.001567,-0.004175,0.000000,0.000000,0.000000,0.003376,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.002996,0.008617,0.000000,0.000000,0.000000,0.003495,0.999994
0.004144,0.006137,0.000000,0.000000,0.000000,0.005253,0.999986
0.004144,0.006137,0.000000,0.000000,0.000000,0.005253,0.999986
0.004144,0.006137,0.000000,0.000000,0.000000,0.005253,0.999986
0.004835,0.003911,0.000000,0.000000,0.000000,0.005032,0.999987
0.004835,0.003911,0.000000,0.000000,0.000000,0.005032,0.999987
0.004835,0.003911,0.000000,0.000000,0.000000,0.005032,0.999987
0.004835,0.003911,0.000000,0.000000,0.000000,0.005032,0.999987
0.007970,0.004542,0.000000,0.000000,0.000000,0.004761,0.999989
0.007970,0.004542,0.000000,0.000000,0.000000,0.004761,0.999989
0.007970,0.004542,0.000000,0.000000,0.000000,0.004761,0.999989
0.007970,0.004542,0.000000,0.000000,0.000000,0.004761,0.999989
0.008374,0.011853,0.000000,0.000000,0.000000,0.006400,0.999980
0.008374,0.011853,0.000000,0.000000,0.000000,0.006400,0.999980
0.008374,0.011853,0.000000,0.000000,0.000000,0.006400,0.999980
0.008374,0.011853,0.000000,0.000000,0.000000,0.006400,0.999980
0.008374,0.011853,0.000000,0.000000,0.000000,0.006400,0.999980
0.009799,-0.001544,0.000000,0.000000,0.000000,0.005990,0.999982
0.009799,-0.001544,0.000000,0.000000,0.000000,0.005990,0.999982
0.009799,-0.001544,0.000000,0.000000,0.000000,0.005990,0.999982
0.009799,-0.001544,0.000000,0.000000,0.000000,0.005990,0.999982
0.009799,-0.001544,0.000000,0.000000,0.000000,0.005990,0.999982
0.009931,-0.006787,0.000000,0.000000,0.000000,0.004451,0.999990
0.009931,-0.006787,0.000000,0.000000,0.000000,0.004451,0.999990
0.009931,-0.006787,0.000000,0.000000,0.000000,0.004451,0.999990
0.009931,-0.006787,0.000000,0.000000,0.000000,0.004451,0.999990
0.013275,-0.019134,0.000000,0.000000,0.000000,0.004665,0.999989
0.013275,-0.019134,0.000000,0.000000,0.000000,0.004665,0.999989
0.013275,-0.019134,0.000000,0.000000,0.000000,0.004665,0.999989
0.013275,-0.019134,0.000000,0.000000,0.000000,0.004665,0.999989
0.008930,-0.012830,0.000000,0.000000,0.000000,0.007528,0.999972
0.008930,-0.012830,0.000000,0.000000,0.000000,0.007528,0.999972
0.008930,-0.012830,0.000000,0.000000,0.000000,0.007528,0.999972
0.008930,-0.012830,0.000000,0.000000,0.000000,0.007528,0.999972
0.002658,-0.010466,0.000000,0.000000,0.000000,0.008574,0.999963
0.002658,-0.010466,0.000000,0.000000,0.000000,0.008574,0.999963
0.002658,-0.010466,0.000000,0.000000,0.000000,0.008574,0.999963
0.002658,-0.010466,0.000000,0.000000,0.000000,0.008574,0.999963
-0.008229,-0.009290,0.000000,0.000000,0.000000,0.006627,0.999978
-0.008229,-0.009290,0.000000,0.000000,0.000000,0.006627,0.999978
-0.008229,-0.009290,0.000000,0.000000,0.000000,0.006627,0.999978
-0.008229,-0.009290,0.000000,0.000000,0.000000,0.006627,0.999978
-0.012034,-0.004583,0.000000,0.000000,0.000000,0.006320,0.999980
-0.012034,-0.004583,0.000000,0.000000,0.000000,0.006320,0.999980
-0.012034,-0.004583,0.000000,0.000000,0.000000,0.006320,0.999980
-0.012034,-0.004583,0.000000,0.000000,0.000000,0.006320,0.999980
-0.018441,0.001556,0.000000,0.000000,0.000000,0.003381,0.999994
-0.018441,0.001556,0.000000,0.000000,0.000000,0.003381,0.999994
-0.018441,0.001556,0.000000,0.000000,0.000000,0.003381,0.999994
-0.018441,0.001556,0.000000,0.000000,0.000000,0.003381,0.999994
-0.019104,0.008728,0.000000,0.000000,0.000000,0.003152,0.999995
-0.019104,0.008728,0.000000,0.000000,0.000000,0.003152,0.999995
-0.019104,0.008728,0.000000,0.000000,0.000000,0.003152,0.999995
-0.019104,0.008728,0.000000,0.000000,0.000000,0.003152,0.999995
-0.019104,0.008728,0.000000,0.000000,0.000000,0.003152,0.999995
-0.014102,0.019258,0.000000,0.000000,0.000000,0.002846,0.999996
-0.014102,0.019258,0.000000,0.000000,0.000000,0.002846,0.999996
-0.014102,0.019258,0.000000,0.000000,0.000000,0.002846,0.999996
-0.014102,0.019258,0.000000,0.000000,0.000000,0.002846,0.999996
-0.014102,0.019258,0.000000,0.000000,0.000000,0.002846,0.999996
-0.005812,0.011586,0.000000,0.000000,0.000000,0.002552,0.999997
-0.005812,0.011586,0.000000,0.000000,0.000000,0.002552,0.999997
-0.005812,0.011586,0.000000,0.000000,0.000000,0.002552,0.999997
-0.005812,0.011586,0.000000,0.000000,0.000000,0.002552,0.999997
-0.005812,0.011586,0.000000,0.000000,0.000000,0.002552,0.999997
-0.005531,0.005554,0.000000,0.000000,0.000000,0.002183,0.999998
-0.005531,0.005554,0.000000,0.000000,0.000000,0.002183,0.999998
-0.005531,0.005554,0.000000,0.000000,0.000000,0.002183,0.999998
-0.005531,0.005554,0.000000,0.000000,0.000000,0.002183,0.999998
-0.005531,0.005554,0.000000,0.000000,0.000000,0.002183,0.999998
-0.012643,-0.013130,0.000000,0.000000,0.000000,0.004632,0.999989
